"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","chosenAction","reward","responses"
"null","","html-keyboard-response","301","327132","0.0-301.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"706","","image-keyboard-response","302","327839","0.0-302.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower6.png","74","707","74","1",""
"null","","html-keyboard-response","303","328143","0.0-303.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"358","","image-keyboard-response","304","328503","0.0-304.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower6.png","74","358","74","1",""
"null","","html-keyboard-response","305","328816","0.0-305.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"","","html-keyboard-response","306","331494","0.0-306.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","","","","","",""
"984","","image-keyboard-response","307","332479","0.0-307.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower7.png","74","985","74","0",""
"null","","html-keyboard-response","308","332783","0.0-308.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower7.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"782","","image-keyboard-response","309","333567","0.0-309.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower9.png","74","785","74","1",""
"null","","html-keyboard-response","310","333873","0.0-310.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower9.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"476","","image-keyboard-response","311","334351","0.0-311.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower9.png","74","478","74","1",""
"null","","html-keyboard-response","312","334668","0.0-312.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower9.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
"322","","image-keyboard-response","313","334991","0.0-313.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower9.png","74","322","74","0",""
"null","","html-keyboard-response","314","335297","0.0-314.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower9.png"" style=""width:200px;border:14px solid red;"">","null","","","",""
"852","","image-keyboard-response","315","336151","0.0-315.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","img/flower2.png","75","854","75","1",""
"null","","html-keyboard-response","316","336469","0.0-316.0","3GU1KF0O4JNFMVO5DGGXOAM2YO8PB3","A207IHY6GERCFO","3LN3BXKGC0HZB1VNEMH4SWP73O3GW1","","","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","",""
